ad_id,funnel,angle,concept,product,hook,headline_cta,caption,ad_description
MOF-001,MOF,M-RITUAL,Make it a ritual,Coffee Scrub,Your shower called. It wants to be a ritual.,Make your shower a ritual.,"Ten quiet minutes. Cold-pressed coffee, raw cane sugar, steam. The smallest ritual that makes the whole day feel handled. Meet the Coffee Scrub.",The body ritual worth slowing down for.
MOF-002,MOF,M-RITUAL,Make it a ritual,Body care range,Self-care isn't selfish. It's maintenance.,Start your daily ritual.,"Self-care isn't selfish — it's maintenance. Bookend your day with something that's only for you. Body care, made to be felt.",Body care that earns its place in your routine.
MOF-003,MOF,M-RITUAL,Make it a ritual,Coffee Scrub + Soap,The five minutes that change the other 23 hours.,Take the five minutes.,"Scrub, soak, breathe. Five minutes that quietly change the other twenty-three hours. Your reset starts in the shower.",A five-minute reset for body and mind.
MOF-004,MOF,M-RITUAL,Make it a ritual,Coffee Scrub,Romanticize the mundane. Start with your shower.,Romanticize your routine.,"Texture, warmth, scent — the small luxuries that add up. Romanticize the mundane, starting with your shower. The Coffee Scrub.",The everyday ritual that feels like a treat.
MOF-005,MOF,M-RITUAL,Heritage ritual,Brand range,Some rituals are inherited. This one's worth keeping.,Keep the ritual.,"Some rituals are inherited — and some are worth keeping. Body care made the slow way, the way it was always meant to be. Meet CoBa's Daughter.","Heritage body care, made the slow way."
MOF-006,MOF,M-RITUAL,PM wind-down,Soap + Scrub,Wash the day off. Properly.,Wash the day off.,"An end-of-day ritual for skin that's had enough. Lather, scrub, reset — and actually feel the day leave. Your PM wind-down, sorted.",The grounding ritual your evenings were missing.
MOF-007,MOF,M-RITUAL,Glow is a habit,Coffee Scrub,"Glow is a habit, not an accident.",Build the glow habit.,"Glow isn't an accident — it's a habit. Two minutes of scrub, three times a week. That's the whole secret. The Coffee Scrub.","Two minutes, three times a week. That's it."
MOF-008,MOF,M-RITUAL,Beautiful bathroom,Range + Rattan,Make your bathroom the nicest room in the house.,Upgrade your bathroom.,Make the smallest room the nicest one. Objects and rituals worth slowing down for — body care that looks as good as it feels.,Body care beautiful enough to leave on display.
MOF-009,MOF,M-SENSE,Scent story,Coffee Scrub,It smells like a slow morning in a warm kitchen.,Find your new favourite scent.,"It smells like a slow morning in a warm kitchen. Real coffee, raw sugar — nothing synthetic pretending to be. The Coffee Scrub.",Real coffee. Real scent. Nothing fake.
MOF-010,MOF,M-SENSE,Texture proof,Coffee Scrub,Texture you can feel working.,Feel the texture.,"Grains that melt as they buff — never sandpaper, never slip. The kind of texture you can feel working. Meet the Coffee Scrub.",Exfoliation you can actually feel working.
MOF-011,MOF,M-SENSE,Aromatherapy,Soap Trio,"Aromatherapy, minus the woo.",Find your calm.,"Aromatherapy, minus the woo. Scents that actually slow your breathing down. The 3-in-1 Soap Trio.",Scents that quietly change your mood.
MOF-012,MOF,M-SENSE,Cooling sensory,Aloe Gel,The first cold gel of summer on warm skin.,Cool down.,"The first cold gel of summer on warm skin. Instant relief that sinks in — never sticky, never greasy. Pure Aloe Gel.",Cooling relief that disappears into skin.
MOF-013,MOF,M-SENSE,Escape,Range,Close your eyes. You're not in the shower anymore.,Escape your Tuesday.,"Close your eyes — you're not in the shower anymore. Scent that takes you somewhere, even on a Tuesday. Body care as a small escape.","A sensory escape, built into your shower."
MOF-014,MOF,M-SENSE,Smells expensive,Range,Skin that smells expensive. (Quietly.),Smell expensive.,Skin that smells expensive — quietly. The kind of scent people lean in to ask about. Find your signature.,The 'what are you wearing?' kind of scent.
MOF-015,MOF,M-SENSE,Addictive cool,Aloe Gel,"Cool, clean, and a little addictive.",Try the aloe.,"Cool, clean, and a little addictive. Aloe gel that disappears into skin and takes the heat with it. You'll reach for it daily.",Lightweight aloe you'll reach for daily.
MOF-016,MOF,M-SENSE,Coffee mood,Coffee Scrub,"Coffee for your skin, not your nerves.",Wake up your skin.,"Coffee for your skin, not your nerves. All the ritual of your morning cup — none of the jitters. The Coffee Scrub.","Your morning coffee, reimagined for skin."
MOF-017,MOF,M-RESULT,Fast smooth,Coffee Scrub,Smoother in one shower. We timed it.,See it in one shower.,Smoother in one shower — we timed it. Buff away the dull and reveal the skin that was always there. Exfoliate + nourish.,Visibly smoother skin after one wash.
MOF-018,MOF,M-RESULT,Bumpy arms,Coffee Scrub,"Goodbye, bumpy arms.",Smooth the rough spots.,"Goodbye, bumpy arms. Gentle exfoliation for the rough patches nobody talks about. The Coffee Scrub does the quiet work.","Gentle exfoliation for rough, bumpy skin."
MOF-019,MOF,M-RESULT,Razor bumps,Coffee Scrub + Aloe Gel,Razor bumps didn't stand a chance.,Shave smarter.,"Razor bumps didn't stand a chance. Exfoliate before, soothe after — smooth, settled skin every time. Scrub + Aloe.","Exfoliate before, soothe after. Smooth skin."
MOF-020,MOF,M-RESULT,Compliment glow,Coffee Scrub,The 'what are you using?' kind of glow.,Get the glow.,"The 'what are you using?' kind of glow. Soft, lit-from-within skin from the neck down. The Coffee Scrub.","Lit-from-within glow, head to toe."
MOF-021,MOF,M-RESULT,Tan prep,Coffee Scrub,"Self-tan, but make it even.",Prep your glow.,"Self-tan, but make it even. Exfoliate first and watch your glow go on flawless — no patches, no streaks. The Coffee Scrub.",The exfoliating prep step for a flawless tan.
MOF-022,MOF,M-RESULT,After-sun,Aloe Gel,Sunburn's worst enemy.,Soothe the burn.,Sunburn's worst enemy. Pure aloe that calms the heat and saves the weekend. Keep the Aloe Gel close.,Pure aloe that calms heat on contact.
MOF-023,MOF,M-RESULT,Body = face,Exfoliate & Nourish Set,Soft enough to notice. Every time you sit down.,Feel the difference.,Soft enough to notice — every time you sit down. Body skin that finally feels as cared-for as your face. The Exfoliate & Nourish Set.,Body skin as cared-for as your face.
MOF-024,MOF,M-RESULT,Routine,Exfoliate & Nourish Set,Your body skincare routine has been waiting.,Build your routine.,"Your body skincare routine has been waiting. Exfoliate, nourish, repeat — results you can actually feel. The Exfoliate & Nourish Set.","Exfoliate, nourish, repeat — feelable results."
