ad_id,funnel,angle,concept,headline,subhead,badge,cta,product,visual
MOF-001,MOF,M-RITUAL,Make it a ritual,Your shower called. It wants to be a ritual.,Ten quiet minutes that feel like a small vacation for your skin.,Cold-pressed coffee + raw cane sugar,Discover the ritual,Coffee Scrub,"Steam, warm bathroom light, a hand scooping scrub from the jar"
MOF-002,MOF,M-RITUAL,Make it a ritual,Self-care isn't selfish. It's maintenance.,Begin and end the day with something that's only for you.,Ritual body care,Start the ritual,Body care range,Candle + scrub jar styled on a rattan tray
MOF-003,MOF,M-RITUAL,Make it a ritual,The five minutes that change the other 23 hours.,"A scrub-and-soak ritual to reset, slowly.",Slow body care,Build your ritual,Coffee Scrub + Soap,"Bath, linen, soft morning light"
MOF-004,MOF,M-RITUAL,Make it a ritual,Romanticize the mundane. Start with your shower.,"Texture, warmth, scent — small luxuries that add up.",Everyday ritual,Explore the ritual,Coffee Scrub,Water droplets catching light on skin
MOF-005,MOF,M-RITUAL,Heritage ritual,Some rituals are inherited. This one's worth keeping.,Body care made the slow way — the way it was meant to be.,Rooted in heritage,Discover CoBa's Daughter,Brand range,"Hands, rattan, warm earthy tones"
MOF-006,MOF,M-RITUAL,PM wind-down,Wash the day off. Properly.,A grounding end-of-day ritual for skin that's had enough.,Evening ritual,Shop the ritual,Soap + Scrub,"Night scene, candle, folded towel"
MOF-007,MOF,M-RITUAL,Glow is a habit,"Glow is a habit, not an accident.","Two minutes of scrub, three times a week. That's it.",The 2-minute ritual,Start glowing,Coffee Scrub,"Glowing shoulder, golden light"
MOF-008,MOF,M-RITUAL,Beautiful bathroom,Make your bathroom the nicest room in the house.,Objects and rituals worth slowing down for.,Considered body care,Explore the collection,Range + Rattan,Styled rattan shelf with products
MOF-009,MOF,M-SENSE,Scent story,It smells like a slow morning in a warm kitchen.,"Real coffee, raw sugar — nothing synthetic pretending to be.",Cold-pressed coffee scent,Smell for yourself,Coffee Scrub,Macro of scrub texture with coffee grounds
MOF-010,MOF,M-SENSE,Texture proof,Texture you can feel working.,"Grains that melt as they buff — never sandpaper, never slip.",Sugar + coffee grain,Feel the difference,Coffee Scrub,"Scrub on fingertips, extreme macro"
MOF-011,MOF,M-SENSE,Aromatherapy,"Aromatherapy, minus the woo.",Scents that actually slow your breathing down.,Mood: unbothered,Find your scent,Soap Trio,"Soap bars with botanicals, soft styling"
MOF-012,MOF,M-SENSE,Cooling sensory,The first cold gel of summer on warm skin.,Instant relief that sinks in — never sticky.,"Pure aloe, cooling",Cool down,Aloe Gel,"Gel on shoulder, dewy skin"
MOF-013,MOF,M-SENSE,Escape,Close your eyes. You're not in the shower anymore.,"Scent that takes you somewhere, even on a Tuesday.",Sensory body care,Escape daily,Range,"Steam, eyes closed, serene"
MOF-014,MOF,M-SENSE,Smells expensive,Skin that smells expensive. (Quietly.),The kind of scent people lean in to ask about.,Signature scent,Discover the scent,Range,"Close skin, golden hour glow"
MOF-015,MOF,M-SENSE,Addictive cool,"Cool, clean, and a little addictive.",Aloe gel that disappears into skin — and takes the heat with it.,Lightweight aloe,Try the gel,Aloe Gel,"Gel texture macro, fresh"
MOF-016,MOF,M-SENSE,Coffee mood,"Coffee for your skin, not your nerves.","All the ritual of your morning cup, none of the jitters.",Cold-pressed coffee,Wake up your skin,Coffee Scrub,Coffee cup + scrub jar flatlay
MOF-017,MOF,M-RESULT,Fast smooth,Smoother in one shower. We timed it.,"Buff away the dull, reveal the skin that was always there.",Exfoliate + nourish,See the glow,Coffee Scrub,Before/after texture on a leg
MOF-018,MOF,M-RESULT,Bumpy arms,"Goodbye, bumpy arms.",Gentle exfoliation for the rough patches nobody talks about.,Smooths rough + bumpy skin,Smooth it out,Coffee Scrub,"Upper-arm close-up, smooth result"
MOF-019,MOF,M-RESULT,Razor bumps,Razor bumps didn't stand a chance.,"Exfoliate before, soothe after — smooth, settled skin.",Pre-shave + post-shave,See how,Coffee Scrub + Aloe Gel,"Smooth legs, clean styling"
MOF-020,MOF,M-RESULT,Compliment glow,The 'what are you using?' kind of glow.,"Soft, lit-from-within skin from the neck down.",Visible glow,Get the glow,Coffee Scrub,"Glowing décolleté, natural light"
MOF-021,MOF,M-RESULT,Tan prep,"Self-tan, but make it even.",Exfoliate first and watch your glow go on flawless.,Preps for an even glow,Prep + glow,Coffee Scrub,"Smooth, evenly-tanned legs"
MOF-022,MOF,M-RESULT,After-sun,Sunburn's worst enemy.,Pure aloe that calms the heat and saves the weekend.,Cooling relief,Soothe skin,Aloe Gel,"Shoulder with aloe, soft focus"
